year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,F9,Frontier Airlines,JFK,"New York, NY: John F. Kennedy International",186.00,51.00,19.24,1.26,21.39,0.00,9.11,0.00,0.00,2176.00,1046.00,89.00,625.00,0.00,416.00
2024,12,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",31.00,18.00,17.19,0.00,0.00,0.00,0.81,0.00,0.00,691.00,656.00,0.00,0.00,0.00,35.00
2024,12,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1621.00,357.00,86.05,13.87,177.89,1.00,78.19,9.00,1.00,22733.00,5734.00,907.00,10517.00,19.00,5556.00
2024,11,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1213.00,91.00,20.60,5.82,41.07,0.00,23.51,0.00,1.00,4999.00,1265.00,357.00,2032.00,0.00,1345.00
2024,11,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1169.00,155.00,65.58,0.55,37.25,0.56,51.06,5.00,2.00,10475.00,4247.00,38.00,1533.00,9.00,4648.00
2024,11,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",331.00,43.00,13.29,0.00,18.40,1.00,10.31,1.00,0.00,2105.00,761.00,0.00,882.00,46.00,416.00
2024,11,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2884.00,437.00,202.31,1.70,100.56,1.83,130.61,0.00,3.00,28765.00,14724.00,56.00,3596.00,29.00,10360.00
2024,11,DL,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",2497.00,247.00,96.41,5.00,72.45,1.00,72.14,1.00,1.00,17226.00,8809.00,818.00,2803.00,17.00,4779.00
2024,11,F9,Frontier Airlines,JFK,"New York, NY: John F. Kennedy International",180.00,27.00,11.18,0.00,5.67,0.00,10.15,0.00,0.00,1292.00,414.00,0.00,147.00,0.00,731.00
2024,11,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",30.00,12.00,11.95,0.00,0.00,0.00,0.05,0.00,0.00,556.00,555.00,0.00,0.00,0.00,1.00
2024,11,OO,SkyWest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",222.00,34.00,19.43,8.05,6.52,0.00,0.00,0.00,0.00,1618.00,930.00,361.00,327.00,0.00,0.00
2024,11,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1615.00,153.00,59.18,2.07,67.98,0.00,23.77,0.00,0.00,7699.00,3362.00,128.00,2504.00,0.00,1705.00
2024,10,OO,SkyWest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",283.00,28.00,21.17,3.94,2.89,0.00,0.00,0.00,0.00,1593.00,1360.00,161.00,72.00,0.00,0.00
2024,10,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1610.00,136.00,41.32,6.21,65.25,0.00,23.23,0.00,0.00,6714.00,3131.00,401.00,1805.00,0.00,1377.00
2024,10,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1488.00,117.00,46.44,4.11,33.49,0.00,32.96,0.00,0.00,8719.00,4774.00,407.00,1058.00,0.00,2480.00
